epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,20999.2,0.29453,0.23349,0.9302,0.96194,0.96048,0.97815,0.96319,0.22561,0.17423,0.83372,0.002476,0.002476,0.002476
78,21262.4,0.2983,0.23754,0.93487,0.96122,0.96145,0.98,0.96553,0.2226,0.17069,0.83347,0.002377,0.002377,0.002377
79,21544,0.29854,0.23333,0.92876,0.96117,0.96234,0.97973,0.96355,0.22578,0.16974,0.83582,0.002278,0.002278,0.002278
80,21801.4,0.29626,0.23237,0.93406,0.97463,0.96061,0.97855,0.96281,0.22356,0.16672,0.83762,0.002179,0.002179,0.002179
81,22080.7,0.29938,0.21551,0.92995,0.9645,0.96393,0.97849,0.9632,0.22058,0.16847,0.83477,0.00208,0.00208,0.00208
82,22342.7,0.28639,0.21936,0.9259,0.96246,0.95953,0.98032,0.96477,0.21972,0.17028,0.83419,0.001981,0.001981,0.001981
83,22622.2,0.28731,0.22425,0.92919,0.96178,0.9592,0.98026,0.96463,0.22281,0.16971,0.83649,0.001882,0.001882,0.001882
84,22886.2,0.28978,0.21834,0.92746,0.96668,0.95869,0.9801,0.96501,0.22572,0.16724,0.83784,0.001783,0.001783,0.001783
85,23154.7,0.29427,0.21915,0.93271,0.96575,0.9611,0.98016,0.96588,0.22325,0.16726,0.83661,0.001684,0.001684,0.001684
86,23420,0.28264,0.2232,0.92844,0.96993,0.95606,0.97957,0.96436,0.22208,0.16742,0.83606,0.001585,0.001585,0.001585
87,23692.5,0.28564,0.21746,0.92709,0.96693,0.96251,0.97809,0.96199,0.22179,0.16672,0.83692,0.001486,0.001486,0.001486
88,23957.7,0.28404,0.21115,0.92593,0.965,0.96157,0.9772,0.96181,0.22292,0.1693,0.83691,0.001387,0.001387,0.001387
89,24235.3,0.2892,0.20964,0.93046,0.96125,0.9619,0.97551,0.96046,0.22119,0.17212,0.83675,0.001288,0.001288,0.001288
90,24502.6,0.27627,0.19877,0.91903,0.9602,0.9589,0.97694,0.9616,0.22273,0.17257,0.83833,0.001189,0.001189,0.001189
91,24779.3,0.20434,0.12783,0.8514,0.95897,0.96126,0.97594,0.96004,0.22008,0.1734,0.83607,0.00109,0.00109,0.00109
92,25020.7,0.20251,0.11993,0.85637,0.96058,0.95678,0.97527,0.95976,0.21744,0.17411,0.8336,0.000991,0.000991,0.000991
93,25260.1,0.19976,0.12256,0.84123,0.96817,0.95154,0.97534,0.96044,0.21601,0.17166,0.83221,0.000892,0.000892,0.000892
94,25497.3,0.19918,0.11592,0.84667,0.97053,0.95591,0.97307,0.95821,0.21611,0.1712,0.83343,0.000793,0.000793,0.000793
95,25738.7,0.19674,0.10962,0.85008,0.96515,0.96101,0.9718,0.95659,0.2166,0.17118,0.83549,0.000694,0.000694,0.000694
